ID,Source,Severity,Start_Lat,Start_Lng,End_Lat,End_Lng,Street,City,County,State,Zipcode,Country,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-512324,Source2,1,35.92478900000001,-78.864693,,,Moore Dr,Durham,Durham,NC,27709,US,2022-09-08 05:51:00,71.0,71.0,93.0,29.46,10.0,NE,6.0,0.0,Cloudy,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-514122,Source2,2,35.98243,-78.890198,,,S Alston Ave,Durham,Durham,NC,27701,US,2022-09-07 08:51:00,76.0,76.0,85.0,29.52,10.0,NNE,6.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-514211,Source2,1,35.992409,-78.87816600000002,,,Liberty St,Durham,Durham,NC,27703-2046,US,2022-09-07 07:51:00,73.0,73.0,90.0,29.52,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-515140,Source2,3,35.907051,-78.896301,,,I-40 W,Durham,Durham,NC,27713,US,2022-09-06 10:23:00,80.0,80.0,87.0,29.6,10.0,WSW,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-518001,Source3,3,36.046478,-78.81385,,,I-85 N,Durham,Durham,NC,27704,US,2022-09-02 17:51:00,91.0,91.0,34.0,29.7,10.0,SE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-518193,Source2,3,35.908787,-78.935738,,,I-40 E,Durham,Durham,NC,27713,US,2022-09-02 14:51:00,91.0,,33.0,29.72,10.0,,,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-518253,Source2,2,35.997715,-78.912407,,,Durham Fwy S,Durham,Durham,NC,27701,US,2022-09-02 14:51:00,91.0,,33.0,29.72,10.0,,,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-519167,Source2,3,35.907051,-78.896301,,,I-40 W,Durham,Durham,NC,27713,US,2022-09-01 17:51:00,88.0,88.0,35.0,29.59,10.0,VAR,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-520426,Source2,3,35.907051,-78.896301,,,I-40 W,Durham,Durham,NC,27713,US,2022-08-31 07:51:00,73.0,73.0,84.0,29.55,10.0,VAR,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-524123,Source2,1,36.03249,-78.984673,,,Hillsborough Rd,Durham,Durham,NC,27705-2208,US,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
